station_name,Latitude,Longitude
莘庄,31.127437747670477,121.37668701779567
外环路,31.111868953934117,121.37048628435195
莲花路,31.1633050670884,121.4018218754565
锦江乐园,31.14836558305042,121.42049333514251
上海南站,31.159438874262317,121.43586513902925
漕宝路,31.16356787527612,121.38234167131989
上海体育馆,31.18826708973816,121.44436526508686
徐家汇,31.19777439300676,121.45237276040281
衡山路,31.208252708399304,121.45080800203499
常熟路,31.223657672635436,121.45408295443269
陕西南路,31.219557182140417,121.46722651150195
一大会址·黄陂南路,31.226052739808082,121.48182747943058
人民广场,31.23505561831062,121.48131849952863
新闸路,31.237435217478687,121.45591695023307
汉中路,31.246847426911625,121.46165189699867
上海火车站,31.25485999724299,121.4633455622072
中山北路,31.257509787391946,121.44050919885474
延长路,31.27956177641547,121.46709499238885
上海马戏城,31.284673770521668,121.45799651221746
汶水路,31.292546551585023,121.40617380633014
彭浦新村,31.319328922203056,121.45163255666259
共康路,31.327090277206064,121.43493018265445
通河新村,31.835599975365863,121.33840213526592
呼兰路,31.350681395315764,121.4563590809339
共富新村,31.3552039193108,121.43399163305763
宝安公路,31.367414145611082,121.41104100524431
友谊西路,31.40450407444808,121.46719534030076
富锦路,31.412430295448942,121.46001150130691
徐泾东,31.178793656462677,121.27882570536923
虹桥火车站,31.20045784666346,121.32701198072161
虹桥2号航站楼,31.253741868993906,121.67476508771088
淞虹路,31.21959972199393,121.36765293894292
北新泾,31.22442451150789,121.38117585042905
威宁路,31.216659396311528,121.3913013695781
娄山关路,31.210268207814252,121.40901640428592
中山公园,31.22826880170953,121.42534274760757
江苏路,31.2241421104875,121.43797462985833
静安寺,31.231092726229946,121.44997653045495
南京西路,31.238237266021898,121.47746216380483
南京东路,31.242479346085396,121.48889328108042
陆家嘴,31.24331958824978,121.53204976422131
东昌路,31.414886929952857,121.20911701813384
世纪大道,31.60032695530252,121.46185527336614
上海科技馆,31.224356111557636,121.54782293100993
世纪公园,31.22204584685968,121.55897898713835
龙阳路,31.209391919122307,121.56420407096766
张江高科,31.212075889269606,121.58898490642703
金科路,30.80828063541155,121.3527910357213
广兰路,31.21607749562805,121.62448306560373
唐镇,31.2142274263638,121.66154355772338
创新中路,31.216461528426816,121.67707847053478
华夏东路,31.2073266744522,121.7152975306266
川沙,31.20232857380201,121.70777440164164
凌空路,31.159830244113323,121.7455335059564
远东大道,31.162714093606724,121.77224174571796
海天三路,31.173269246365752,121.80066889307287
浦东国际机场,31.15750231884253,121.76538605772691
石龙路,31.16114718471984,121.44358230200437
龙漕路,31.74142194935133,121.37095942186406
漕溪路,31.18024387410313,121.44179503336173
宜山路,31.172978657802656,121.39366337498434
虹桥路,31.198268281126474,121.38360514969764
延安西路,31.192617621807305,121.37589147843603
金沙江路,31.23891892332518,121.38351216339937
曹杨路,31.244459452746995,121.42366992308689
镇坪路,31.25079228622584,121.43921303383438
中潭路,31.25888338866709,121.4491897944893
宝山路,31.26862782281406,121.48625594593368
东宝兴路,31.263653060206614,121.48917804392707
虹口足球场,31.274705165099764,121.48598196275313
赤峰路,31.28767929662072,121.50280201478306
大柏树,31.29729930753339,121.49409905134128
江湾镇,31.31083303724092,121.47983243272347
殷高西路,31.326743177418596,121.4832070970328
长江南路,31.343043596271634,121.48696641576151
淞发路,31.348387361244896,121.49535470278313
张华浜,31.36427629025596,121.50487799881661
淞滨路,31.378021729062976,121.5007001595508
水产路,31.38076274268675,121.47337604153161
宝杨路,31.395230956280656,121.47290559893604
友谊路,31.23144712926102,121.4124746110077
铁力路,31.394471068681785,121.47453728106434
江杨北路,31.39382067825694,121.4528365555376
海伦路,31.263281416256714,121.4983776804853
临平路,31.267654698352413,121.50310276746778
大连路,31.268802599863083,121.51480068147983
杨树浦路,31.264558781806706,121.54717426460117
浦东大道,31.262321432104304,121.56295785173369
浦电路,31.225994762984097,121.53337440552635
蓝村路,31.21765807838527,121.5343656856566
塘桥,31.096318531244236,121.45057587989119
南浦大桥,31.211927180759396,121.50986440287195
西藏南路,31.216133162365512,121.49315879496399
鲁班路,31.205618664865245,121.48312076987328
大木桥路,31.203193987984463,121.46864980561637
东安路,30.91280178819249,121.76635060248859
上海体育场,31.188228165492802,121.4493911047541
春申路,31.114870522445663,121.4159411719707
银都路,31.105776172324436,121.42465859813117
颛桥,31.073710911939678,121.41955505503734
北桥,31.053971359414287,121.41533993609288
剑川路,31.028660798270796,121.41305249094226
东川路,31.015336134567324,121.40959131981231
金平路,31.027023110970838,121.41414707620616
华宁路,31.045434218511453,121.38831791821666
文井路,31.00900613236378,121.38777165863605
闵行开发区,31.118842580087428,121.38861193361008
江川路,31.0008902270325,121.38260739008975
西渡,30.998908463380204,121.44748642758128
萧塘,31.235929042252014,121.48053886017651
奉浦大道,31.235929042252014,121.48053886017651
环城东路,31.149383446771406,121.12126309858019
望园路,30.958704640796405,121.4820587930994
金海湖,31.235929042252014,121.48053886017651
奉贤新城,30.923723440541,121.50965491802702
东方体育中心,31.162559203862795,121.48224321522059
灵岩南路,31.153313329387355,121.50437467823936
上南路,31.125298747758553,121.5556989143992
华夏西路,31.16254274922659,121.54267177772407
高青路,30.843158885682676,121.51492129067252
东明路,31.63250833583524,121.4112144680383
高科西路,31.193632997483558,121.5424720844092
临沂新村,31.199080684681956,121.51489428491396
上海儿童医学中心,31.211585829750025,121.52927696460367
源深体育中心,31.237309830516867,121.54278397608225
民生路,30.940002653527987,121.55230520601306
北洋泾路,31.251099304020727,121.55561932453102
德平路,30.93206778226883,121.49570917054415
云山路,31.244389600941176,121.58640066113593
